"Region","Year","Earthquake_Numbers","Earthquake_Average_Magnitude(4+)","Internal_Emigration","Internal_Immigration","Net_Internal_Immigration","Average_Precipitation (mm)","Average_Temperature (°C)","Average_Windspeed (kn)"
"Auckland",2014,NA,NA,49401,54831,5430,1017.9,15.66,47.24
"Auckland",2015,NA,NA,52344,65733,13389,942.65,15.87,44.16
"Auckland",2016,NA,NA,53199,72780,19581,1164.7,16.44,46.27
"Auckland",2017,NA,NA,50583,74862,24279,1306.3,16.26,43.81
"Nelson",2014,NA,NA,4806,4197,-609,861.4,13.26,37.61
"Nelson",2016,NA,NA,4518,4524,6,1249.7,13.77,35.87
"Nelson",2017,NA,NA,4506,4293,-213,1018.8,13.69,35.03
"Northland",2014,NA,NA,67836,67194,-642,1744.8,15.86,39.04
"Northland",2015,NA,NA,71793,70929,-864,1045.1,15.9,36.78
"Northland",2016,NA,NA,73503,71088,-2415,1378.4,16.68,37.53
"Northland",2017,NA,NA,68220,64593,-3627,1502.25,16.26,37.1
"Taranaki",2014,NA,NA,5577,5544,-33,1238.6,13.65,47.31
"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tasman",2014,1,4.1969382,3999,4029,30,NA,NA,NA
"Tasman",2015,1,4.462830281,4293,4092,-201,NA,NA,NA
"Tasman",2017,2,4.2786529535,4332,3810,-522,NA,NA,NA
"NA",2014,298,4.4608259130436245,NA,NA,NA,NA,NA,NA
"NA",2015,403,4.474263920811414,NA,NA,NA,NA,NA,NA
"NA",2016,435,4.479663763891954,NA,NA,NA,NA,NA,NA
"NA",2017,262,4.435193155973282,NA,NA,NA,NA,NA,NA
"Auckland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northland",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tasman",2016,NA,NA,3987,3879,-108,NA,NA,NA
"Tasman",NA,NA,NA,NA,NA,NA,NA,NA,NA
